angle,v0,r,ymax,age,batchId,fitness,iteration,accepted,conv_objective,ConstraintEvaluation_impConstr1
15.8304213944,130.962171746,918.616017585,65.1172520048,1.0,3.0,918.616017585,2.0,accepted,0.0,184.882747995
30.8690138594,157.495460682,2229.37577302,333.154220097,1.0,3.0,560.154716134,2.0,accepted,0.0,-83.1542200969
15.8304213944,114.14404739,697.828677553,49.4664636611,1.0,3.0,697.828677553,2.0,accepted,0.0,200.533536339
31.7600738319,157.495460682,2265.56902399,350.631896291,1.0,3.0,542.677039939,2.0,accepted,0.0,-100.631896291
57.9946119462,109.47661872,1099.30117264,439.720386309,1.0,3.0,453.588549921,2.0,accepted,0.0,-189.720386309
27.0206400245,157.495460682,2048.77757643,261.208534677,1.0,3.0,632.100401554,2.0,accepted,0.0,-11.2085346766
23.589403466,130.962171746,1283.66898184,140.134622341,1.0,3.0,1283.66898184,2.0,accepted,0.0,109.865377659
30.6078522712,122.635387127,1345.01485217,198.922097066,1.0,3.0,1345.01485217,2.0,accepted,0.0,51.0779029335
23.589403466,114.14404739,975.141964504,106.453573981,1.0,3.0,975.141964504,2.0,accepted,0.0,143.546426019
31.7600738319,122.406870737,1368.52522578,211.800474829,1.0,3.0,1368.52522578,2.0,accepted,0.0,38.199525171
57.9946119462,116.265728033,1239.87348128,495.949299185,1.0,3.0,397.359637045,2.0,accepted,0.0,-245.949299185
27.0206400245,122.406870737,1237.57156179,157.783967343,1.0,3.0,1237.57156179,2.0,accepted,0.0,92.216032657
30.8690138594,114.14404739,1170.9914686,174.991024026,1.0,3.0,1170.9914686,2.0,accepted,0.0,75.0089759735
31.7600738319,130.962171746,1566.5092103,242.441562871,1.0,3.0,1566.5092103,2.0,accepted,0.0,7.55843712926
30.8690138594,146.370285453,1925.54217171,287.749830352,1.0,3.0,605.559105878,2.0,accepted,0.0,-37.7498303524
27.0206400245,130.962171746,1416.61053332,180.610509346,1.0,3.0,1416.61053332,2.0,accepted,0.0,69.389490654
31.7600738319,146.370285453,1956.80277474,302.845536955,1.0,3.0,590.463399276,2.0,accepted,0.0,-52.8455369549
24.2638042428,120.424475884,1108.77813178,124.947377254,0.0,4.0,1108.77813178,3.0,accepted,0.0,125.052622746
27.1046257629,121.393997902,1219.7587683,156.076591596,0.0,4.0,1219.7587683,3.0,accepted,0.0,93.9234084042
24.2638042428,136.728314815,1429.3284705,161.069954849,0.0,4.0,1429.3284705,3.0,accepted,0.0,88.930045151
25.753980675,121.393997902,1176.95732922,141.949405431,0.0,4.0,1176.95732922,3.0,accepted,0.0,108.050594569
24.2638042428,141.787702726,1537.06507341,173.210711942,0.0,4.0,1537.06507341,3.0,accepted,0.0,76.789288058
15.8304213944,121.393997902,789.290191461,55.949828131,0.0,4.0,789.290191461,3.0,accepted,0.0,194.050171869
15.8304213944,121.393997902,789.290191461,55.949828131,0.0,4.0,789.290191461,3.0,accepted,0.0,194.050171869
24.2638042428,130.962171746,1311.31448615,147.771047339,0.0,4.0,1311.31448615,3.0,accepted,0.0,102.228952661
31.7600738319,121.393997902,1345.97082008,208.309831217,0.0,4.0,1345.97082008,3.0,accepted,0.0,41.6901687831
24.2638042428,121.393997902,1126.70326015,126.967346545,0.0,4.0,1126.70326015,3.0,accepted,0.0,123.032653455
31.7600738319,121.393997902,1345.97082008,208.309831217,0.0,4.0,1345.97082008,3.0,accepted,0.0,41.6901687831
24.2638042428,160.483915175,1969.14702627,221.901703603,0.0,4.0,1969.14702627,3.0,accepted,0.0,28.0982963967
25.580173568,121.393997902,1171.25742127,140.168568921,0.0,4.0,1171.25742127,3.0,accepted,0.0,109.831431079
27.1046257629,136.728314815,1547.37808643,197.997754899,0.0,4.0,1547.37808643,3.0,accepted,0.0,52.0022451013
25.753980675,120.424475884,1158.23269075,139.691081164,0.0,4.0,1158.23269075,3.0,accepted,0.0,110.308918836
27.1046257629,120.424475884,1200.3531863,153.593512831,0.0,4.0,1200.3531863,3.0,accepted,0.0,96.4064871693
15.8304213944,141.787702726,1076.76122808,76.3275741939,0.0,4.0,1076.76122808,3.0,accepted,0.0,173.672425806
70.7090979222,119.341547543,906.327607363,647.345849935,0.0,4.0,391.944341525,3.0,accepted,0.0,-397.345849935
28.3422581533,109.47661872,1021.98789139,137.814115712,0.0,4.0,1021.98789139,3.0,accepted,0.0,112.185884288
27.1046257629,120.424475884,1200.3531863,153.593512831,0.0,4.0,1200.3531863,3.0,accepted,0.0,96.4064871693
27.1046257629,121.393997902,1219.7587683,156.076591596,0.0,4.0,1219.7587683,3.0,accepted,0.0,93.9234084042
31.7600738319,120.424475884,1324.55728505,204.995755011,0.0,4.0,1324.55728505,3.0,accepted,0.0,45.0042449887
27.1046257629,160.483915175,2131.78077699,272.776131109,0.0,4.0,766.514060351,3.0,accepted,0.0,-22.7761311093
25.580173568,120.424475884,1152.62346469,137.938576624,0.0,4.0,1152.62346469,3.0,accepted,0.0,112.061423376
25.753980675,141.787702726,1605.62240975,193.649455892,0.0,4.0,1605.62240975,3.0,accepted,0.0,56.3505441077
15.8304213944,136.728314815,1001.28843329,70.9775901924,0.0,4.0,1001.28843329,3.0,accepted,0.0,179.022409808
25.753980675,157.495460682,1981.08163108,238.932502192,0.0,4.0,1981.08163108,3.0,accepted,0.0,11.0674978082
15.8304213944,136.728314815,1001.28843329,70.9775901924,0.0,4.0,1001.28843329,3.0,accepted,0.0,179.022409808
25.753980675,130.962171746,1369.80272444,165.207928499,0.0,4.0,1369.80272444,3.0,accepted,0.0,84.792071501
31.7600738319,136.728314815,1707.48987923,264.260504939,0.0,4.0,775.029686522,3.0,accepted,0.0,-14.260504939
25.753980675,121.393997902,1176.95732922,141.949405431,0.0,4.0,1176.95732922,3.0,accepted,0.0,108.050594569
31.7600738319,136.728314815,1707.48987923,264.260504939,0.0,4.0,775.029686522,3.0,accepted,0.0,-14.260504939
25.753980675,160.483915175,2056.97640794,248.08595082,0.0,4.0,2056.97640794,3.0,accepted,0.0,1.91404917992
25.580173568,136.728314815,1485.84959121,177.816940195,0.0,4.0,1485.84959121,3.0,accepted,0.0,72.1830598047
