0000582,0000583,0000597,0000596,0000200,0000579,0000578,0000575,20508701,20508801,failureTemp,0000588,timeof_692,timeof_578,timeof_591,time,timeof_672,cntrlvar_67,timeof_679
14645.6802916,15678.8565278,26704.5335628,27557.4981789,28643.0473278,26723.7161566,23484.6320536,11272.5062759,166.56307751,20435.1279918,2491.3166546,25063.5658907,-1.0,52128.0,-1.0,52127.7,52128.0,1607.2,-1.0
5005.75163165,7332.23833486,5277.58265844,8944.39949337,25494.4732463,18598.8026449,21919.3639401,22915.7807493,295.295311826,15061.8938005,2552.67269863,26090.3453766,31575.0,-1.0,-1.0,40325.5,40325.0,749.97,-1.0
6943.55946827,2884.79627973,26853.7486979,17258.0472825,12010.7836026,2627.75067448,27322.5593402,5675.64506781,314.726774684,20104.8863473,2122.13035012,2003.13906275,-1.0,-1.0,-1.0,19689.6,19690.0,1018.5,19690.0
5844.51891638,7617.73885616,2907.59034725,17459.5566964,9903.76441576,17189.253413,11647.9606837,24843.0738931,204.421423933,14751.5399088,2271.43178263,15106.1977184,15993.0,21552.0,-1.0,21551.8,21552.0,752.16,-1.0
15032.4317726,14638.2662159,25017.9916652,6144.19733516,12540.3266911,19004.1381158,18041.8697286,21238.7942912,290.21417537,21141.0455995,2448.11082231,16038.7977953,-1.0,30582.0,-1.0,30582.2,30582.0,1018.4,-1.0
6712.41311292,1374.75026228,8676.36269059,12842.65005,26265.9424182,18670.3341833,2600.06327537,10989.4644598,65.5524336985,20877.6528969,1857.36014024,8176.55141187,-1.0,28866.0,-1.0,28866.1,28866.0,1003.0,-1.0
18121.5110025,23848.6449781,20517.6926481,18220.6534855,4320.32763783,19901.7936613,9898.52432813,9439.50816516,214.651358885,17487.2264813,2402.07560442,12832.4754778,-1.0,14219.0,-1.0,14218.9,14219.0,995.69,-1.0
15172.0939542,2278.57853024,27234.2386816,11129.9603419,13089.8002454,13397.8979229,11657.0261759,15501.0275316,234.934440607,18802.6540637,2000.28768248,5868.91420079,-1.0,24747.0,-1.0,24746.9,24747.0,1018.4,-1.0
22285.5466984,18918.1492265,13992.4697564,1606.99260592,21281.3253422,13296.6280474,8702.35101906,1355.56064355,276.522047656,17021.8663825,2585.64564584,2931.89383266,-1.0,29984.0,-1.0,29983.7,29984.0,1004.2,-1.0
8243.0241623,14102.0043692,12320.3432297,8071.70208593,10559.3318046,8361.85436013,17871.5244548,12639.0141387,277.84663023,18682.5747628,2597.54304227,18078.4786245,-1.0,-1.0,-1.0,18921.3,18921.0,1004.3,18921.0
23114.3488111,3208.91489327,7559.34308863,24818.2981786,7377.30335803,21543.6510909,23000.8043429,8655.10321937,202.19784991,20944.9765188,2383.59922031,3558.35246952,-1.0,-1.0,-1.0,19434.4,-1.0,2383.6,-1.0
22755.0343396,1429.27247394,7874.8838042,15281.585573,10466.3284653,4405.94395102,1858.38950269,7941.56396892,208.243266383,16892.9481334,1907.20263387,5872.47053939,-1.0,12325.0,-1.0,12324.8,12325.0,1014.5,-1.0
